"title","taxa_inad_temp","Risco_title_BIN"
"3 credit card payoff",0,"Risk1"
"3 income household refinancing cc debt",0,"Risk1"
"3 year consoladtion",1,"Risk3"
"3 year loan",0,"Risk1"
"3 year plan",0,"Risk1"
"3 years loan",1,"Risk3"
"3 years to fix",1,"Risk3"
"3-year plan to financial freedom",0,"Risk1"
"3-yr debt consol. excellent pay hist",0,"Risk1"
"3500",0,"Risk1"
"36 months",0,"Risk1"
"36 months starting july 2011",0,"Risk1"
"36 months to debt free",0,"Risk1"
"3rd time responsbile borrower",0,"Risk1"
"3yr get on track plan",0,"Risk1"
"4 loans to one payment",0,"Risk1"
"4-loan & cc consolidation",0,"Risk1"
"401k consolidation",0,"Risk1"
"401k loan",0,"Risk1"
"401k loan pay-off",0,"Risk1"
"401k loan payoff",0,"Risk1"
"401k loan payoff and consolidation",0,"Risk1"
"401k loan repayment",0,"Risk1"
"401k payoff",0,"Risk1"
"401k payoff loan",0,"Risk1"
"401kpayoff",0,"Risk1"
"4mygood",0,"Risk1"
"4th loan, never missed a payment",0,"Risk1"
"4x4",0,"Risk1"
"5 done",1,"Risk3"
"5 to go",0,"Risk1"
"5 year better plan",0,"Risk1"
"5 year credit card payoff plan",0,"Risk1"
"5 year debt free plan",0,"Risk1"
"5.0",1,"Risk3"
"50% debt consolidation & 50% business",0,"Risk1"
"50% loan to home purchase price",0,"Risk1"
"5000",0,"Risk1"
"53' trailer",0,"Risk1"
"55chevy",0,"Risk1"
"5tetu62n05z081960",0,"Risk1"
"6000",0,"Risk1"
"66 mustang",0,"Risk1"
"6k loan",0,"Risk1"
"7.2k loan",0,"Risk1"
"72 ho mustang",0,"Risk1"
"73 caddy",0,"Risk1"
"8/21 consolidation loan",1,"Risk3"
"8/3/11 loan",0,"Risk1"
"8000",0,"Risk1"
"84 post",0,"Risk1"
"8k",0,"Risk1"
"9,000 loan",0,"Risk1"
"9/12 consildation",1,"Risk3"
"90 year old sewer line repair",0,"Risk1"
"??",0,"Risk1"
"?payitforward.x",1,"Risk3"
"a better future",0,"Risk1"
"a bill consolidation loan",0,"Risk1"
"a blessing. thank you.",0,"Risk1"
"a boost from lendingclub",0,"Risk1"
"a break in life",0,"Risk1"
"a bright future",0,"Risk1"
"a brighter future",0,"Risk1"
"a come up",0,"Risk1"
"a few payments into one",0,"Risk1"
"a fresh start",0,"Risk1"
"a great investment!",0,"Risk1"
"a healthy me",0,"Risk1"
"a helping hand",0,"Risk1"
"a kitchen for the kids",0,"Risk1"
"a little bit something now",0,"Risk1"
"a little help",0,"Risk1"
"a little more freedom",1,"Risk3"
"a loan to kickstart the future",0,"Risk1"
"a modest proposal - credit card help!",0,"Risk1"
"a new begining",0,"Risk1"
"a new beginning",0.333333333333333,"Risk3"
"a new beginning to a continuation",0,"Risk1"
"a new beginning without high rate debt",0,"Risk1"
"a new day",0,"Risk1"
"a new fiscal house",1,"Risk3"
"a new life",0.5,"Risk3"
"a new start",0.333333333333333,"Risk3"
"a positive step in the right direction",0,"Risk1"
"a rescue loan that will save my finanish",0,"Risk1"
"a safe bet",0,"Risk1"
"a second chance",0,"Risk1"
"a simple debt consolidation",0,"Risk1"
"a step closer to financial freedom",0,"Risk1"
"a trowel digs out debt",0,"Risk1"
"a+ debt consolidation loan",0,"Risk1"
"a-tier credit. vacation loan",0,"Risk1"
"a/c replacement",0,"Risk1"
"aaaa loan",0,"Risk1"
"aaho3",0,"Risk1"
"aal loan",0,"Risk1"
"ab consolidation loan",0,"Risk1"
"abounding",1,"Risk3"
"above ground pool",0,"Risk1"
"above water",1,"Risk3"
"ac bust out",0,"Risk1"
"ac repair",0,"Risk1"
"ac unit",0,"Risk1"
"account consolidation & rate adjustment",0,"Risk1"
"account management",0,"Risk1"
"accounting debt loans",0,"Risk1"
"acquiring green website",0,"Risk1"
"acromegaly medical loan",0,"Risk1"
"action",0,"Risk1"
"acura rsx",0,"Risk1"
"ad. motorcycle loan",0,"Risk1"
"adam",0,"Risk1"
"add a bathroom and finish my basement.",1,"Risk3"
"adding on to paint booth",0,"Risk1"
"addition",0,"Risk1"
"additional funding for home purchase",0,"Risk1"
"addy's loan",0,"Risk1"
"adelle home improvement project",0,"Risk1"
"adin",0,"Risk1"
"adiã³s credit cards!",0,"Risk1"
"adoption costs",0,"Risk1"
"adoption expenses",0,"Risk1"
"adoption loan",0,"Risk1"
"advance",0,"Risk1"
"advertising funding",1,"Risk3"
"advertising money",0,"Risk1"
"affordable",0,"Risk1"
"after great experience i am back again",0,"Risk1"
"aftra membership",0,"Risk1"
"aggregating credict card debt",0,"Risk1"
"agriculture project",0,"Risk1"
"ahead",0,"Risk1"
"aim to be debt free",0,"Risk1"
"air conditioner",0,"Risk1"
"air conditioning",0,"Risk1"
"air conditioning loan",0,"Risk1"
"air conditioning repairs",0,"Risk1"
"air plane",0,"Risk1"
"air purifier",0,"Risk1"
"aircraft partnership loan",0,"Risk1"
"ak's debt consolidation loan",0,"Risk1"
"akc card",0,"Risk1"
"al's loan",1,"Risk3"
"alex duarte loan",0,"Risk1"
"alex relocation",0,"Risk1"
"alex's loan",0,"Risk1"
"alfred's consolidated loan",0,"Risk1"
"alina personal loan 2",0,"Risk1"
"all bills",0,"Risk1"
"all bills into one",0,"Risk1"
"all but 2 cards",0,"Risk1"
"all cc into 1. already pay them anyhow.",0,"Risk1"
"all credit cards",0,"Risk1"
"all credit cards paid",0,"Risk1"
"all credit cards paid off",0,"Risk1"
"all debt in one loan",0,"Risk1"
"all debt pay-off loan",1,"Risk3"
"all debts consolidate",0,"Risk1"
"all done",0,"Risk1"
"all good",0,"Risk1"
"all in one",0.4,"Risk3"
"all in one 2013",0,"Risk1"
"all in one loan",0,"Risk1"
"all in one payment",0,"Risk1"
"all my debt",0,"Risk1"
"all together",0,"Risk1"
"all unsecured debt",1,"Risk3"
"all_debt_in_one_basket",0,"Risk1"
"allen's account",0,"Risk1"
"allen's debt consolidation loan",0,"Risk1"
"allinone",0,"Risk1"
"allinoneconsolidation",0,"Risk1"
"allinonepayment",0,"Risk1"
"allison 2",0,"Risk1"
"almost debt free",0,"Risk1"
"almost free",0,"Risk1"
"almost out of debt.....",0,"Risk1"
"almost there",0,"Risk1"
"almost there...",0,"Risk1"
"almost to the finish line!",0,"Risk1"
"aloan",0,"Risk1"
"aloan4me",0,"Risk1"
"aloha and mahalo",0,"Risk1"
"always on time",0,"Risk1"
"always pay on time every time",0,"Risk1"
"always thinking to better myself",0,"Risk1"
"alwayspayontime",0,"Risk1"
"amanda's plan loan",0,"Risk1"
"amazing",1,"Risk3"
"amazon card refi",0,"Risk1"
"amazon credit card",0,"Risk1"
"ameet",1,"Risk3"
"america",0,"Risk1"
"american express",0,"Risk1"
"american express paydown",0,"Risk1"
"american express+",0,"Risk1"
"american standard home loan",0,"Risk1"
"americandream",0,"Risk1"
"americanexpress",0,"Risk1"
"amex",0,"Risk1"
"amex and visa consolidate",0,"Risk1"
"amex disc consolidation",0,"Risk1"
"amex payoff",0,"Risk1"
"amex refinance",0,"Risk1"
"amex repayment",0,"Risk1"
"amex tricked me!  i want to escape them!",0,"Risk1"
"amex/eiu",0,"Risk1"
"amexconsolidation",1,"Risk3"
"amk",0,"Risk1"
"amusement ride development & used car",0,"Risk1"
"an lc loan to refi another lc loan",0,"Risk1"
"anahuac",0,"Risk1"
"angela kay myrick",0,"Risk1"
"angies debt consolidation",0,"Risk1"
"animals",1,"Risk3"
"anne's loan",0,"Risk1"
"another debt consolidation loan",1,"Risk3"
"another rental property down payment",0,"Risk1"
"answered prayer",0,"Risk1"
"anything",1,"Risk3"
"apartment",0,"Risk1"
"apartment complex",0,"Risk1"
"apartment loan",0.5,"Risk3"
"apartment move",0,"Risk1"
"app development bridge loan",0,"Risk1"
"appaloosa world show",0,"Risk1"
"applances for aptment",1,"Risk3"
"apple visa payoff",0,"Risk1"
"appliances",0,"Risk1"
"appliances falling apart",0,"Risk1"
"appreciating the gift that was my education",0,"Risk1"
"aprentance program",0,"Risk1"
"april 2013",0,"Risk1"
"april loan",0,"Risk1"
"april loan 2013",1,"Risk3"
"aquarium",0,"Risk1"
"arctic cat atv",0,"Risk1"
"argentina",0,"Risk1"
"art school student loan",0,"Risk1"
"aruba",0,"Risk1"
"aruba vacation",0,"Risk1"
"ashley's consolidation",0,"Risk1"
"ashley's debt consolidation",1,"Risk3"
"asphalt driveway.....finally!!",0,"Risk1"
"assistance",0,"Risk1"
"assistance needed for a major purchase.",0,"Risk1"
"at last !",0,"Risk1"
"atlantic1",0,"Risk1"
"attcardconsolidation",0,"Risk1"
"attempt 2",0,"Risk1"
"attorney",0.5,"Risk3"
"attorney fees",0.5,"Risk3"
"atv",0,"Risk1"
"atv loan",0,"Risk1"
"atvs",0,"Risk1"
"atwater project",1,"Risk3"
"auction",0,"Risk1"
"audi tt",0,"Risk1"
"augmentation",0,"Risk1"
"august",0,"Risk1"
"august 2010",0,"Risk1"
"august 2012 loan",1,"Risk3"
"august-october",0,"Risk1"
"aust loan",0,"Risk1"
"auto",0.2,"Risk3"
"auto and cc consolidation",0,"Risk1"
"auto and consolidation",0,"Risk1"
"auto credit card",0,"Risk1"
"auto financing",0,"Risk1"
"auto loan",0.0952380952380952,"Risk3"
"auto loan consolidation/refinancing",0,"Risk1"
"auto loan for buying a honda civic",0,"Risk1"
"auto refi",0,"Risk1"
"auto repair",0,"Risk1"
"auto repairs",0,"Risk1"
"auto repairs and debt consolidation",0,"Risk1"
"auto savings boost",0,"Risk1"
"auto_payoff",0,"Risk1"
"autoflip",0,"Risk1"
"automobile",0,"Risk1"
"automobile repairs/college tuition",0,"Risk1"
"avalanche repairs",0,"Risk1"
"avoiding my personal fiscal cliff",1,"Risk3"
"awareness to the world",0,"Risk1"
"away and relax",0,"Risk1"
"awesome home down payment",0,"Risk1"
"ayoung48",1,"Risk3"
"baby formula dispensing product",0,"Risk1"
"baby is coming",0,"Risk1"
"baby medical",1,"Risk3"
"baby's new room :)",0,"Risk1"
"back in the black",0,"Risk1"
"back on my feet",0.5,"Risk3"
"back on right track / starting a family",0,"Risk1"
"back on track",0.421052631578947,"Risk3"
"back on track consolidation loan",0,"Risk1"
"back on track loan",0,"Risk1"
"back on track, soon to be debt free",0,"Risk1"
"back taxes",0,"Risk1"
"back to basic",0,"Risk1"
"back to basics with money management",0,"Risk1"
"back yard",0,"Risk1"
"back yard for the kids",0,"Risk1"
"back yard fun",0,"Risk1"
"back yard living",0,"Risk1"
"back yard remodel",0,"Risk1"
"back yard retreat home improvement",0,"Risk1"
"backhoe",0,"Risk1"
"backinblack",0,"Risk1"
"backontrack",0,"Risk1"
"backontrack2010",0,"Risk1"
"backtozero",0,"Risk1"
"backyard",0.333333333333333,"Risk3"
"backyard oasis",0,"Risk1"
"backyard pool",0,"Risk1"
"backyard swimming pool",0,"Risk1"
"badbet",0,"Risk1"
"bahamas trip",0,"Risk1"
"bail me out",0,"Risk1"
"bail out",0,"Risk1"
"bailout",0,"Risk1"
"bailout 2012",1,"Risk3"
"balance",0,"Risk1"
"balance of consolidation loan",1,"Risk3"
"balance transfer",0,"Risk1"
"balance transfers",0,"Risk1"
"banish my lingering debt!",0,"Risk1"
"bank consolodation",0,"Risk1"
"bank loan",1,"Risk3"
"bank of america",0,"Risk1"
"bank of america pay off",0,"Risk1"
"bank of america pay-off loan",1,"Risk3"
"bank of america shysters",0,"Risk1"
"bank of america visa to fixed loan",0,"Risk1"
"barn loan",0,"Risk1"
"basement",0,"Risk1"
"basement and bath renovation",0,"Risk1"
"basement finishing",0,"Risk1"
"basement finishing loan",0,"Risk1"
"basement loan",0,"Risk1"
"basement remodel",0,"Risk1"
"basement remodel due to flood damage",1,"Risk3"
"basic repairs",0,"Risk1"
"bass",0,"Risk1"
"bass boat",0,"Risk1"
"bath",0,"Risk1"
"bathroom",0,"Risk1"
"bathroom and kitchen rennovation",0,"Risk1"
"bathroom home improvement",0,"Risk1"
"bathroom improvement",0,"Risk1"
"bathroom remod and cash",0,"Risk1"
"bathroom remodel",0,"Risk1"
"bathroom remodel loan",0,"Risk1"
"bathroom/kitchen remodeling",0,"Risk1"
"bathrooms",0,"Risk1"
"bb consol",0,"Risk1"
"bb loan",0,"Risk1"
"be  debt free",0,"Risk1"
"be debt free",0,"Risk1"
"be debt free!",1,"Risk3"
"be free",0,"Risk1"
"be gone",0,"Risk1"
"be healthy 2014",0,"Risk1"
"be smarter",0,"Risk1"
"beach house",0,"Risk1"
"beantown loan",0,"Risk1"
"beat bank of america's interest rate",0,"Risk1"
"beat down evil credit",0,"Risk1"
"beating my debt loan",0,"Risk1"
"beautiful boat",0,"Risk1"
"beautiful home",0,"Risk1"
"beautiful yard",0,"Risk1"
"beautify me",0,"Risk1"
"beautify my nest",0,"Risk1"
"beauty school",0,"Risk1"
"bebt free",0,"Risk1"
"bebt payment",0,"Risk1"
"become  debt free!!!!",0,"Risk1"
"becoming a nurse",0,"Risk1"
"becoming debt free",0,"Risk1"
"becoming more awesome!",0,"Risk1"
"bed",0,"Risk1"
"bee business expanding",0,"Risk1"
"beef",0,"Risk1"
"beginning",0,"Risk1"
"beginning new",0,"Risk1"
"beginning of something big",1,"Risk3"
"being debt free",0,"Risk1"
"being debt free!",0,"Risk1"
"being smarter",0,"Risk1"
"ben",0,"Risk1"
"bens loan",0,"Risk1"
"best decision",0,"Risk1"
"best money spend",1,"Risk3"
"best plan",0,"Risk1"
"best rate",0,"Risk1"
"best year yet",0,"Risk1"
"bestoneforme",0,"Risk1"
"beth personal loan",0,"Risk1"
"better 2013",0,"Risk1"
"better day loan",0,"Risk1"
"better days",0,"Risk1"
"better deal",0,"Risk1"
"better interest rate",0,"Risk1"
"better interest rate, please help",0,"Risk1"
"better job = better life!",0,"Risk1"
"better life",0,"Risk1"
"better living",0,"Risk1"
"better my home",0,"Risk1"
"better myself",0,"Risk1"
"better option",0,"Risk1"
"better rate",0,"Risk1"
"better rate to refi cc",0,"Risk1"
"better rates",0,"Risk1"
"better than junk bonds",0,"Risk1"
"better things",0,"Risk1"
"betterisoneday",0,"Risk1"
"betterliving",0,"Risk1"
"betterrate",0,"Risk1"
"beyond 2012",0,"Risk1"
"big day",0,"Risk1"
"big help",0.5,"Risk3"
"big help!",0,"Risk1"
"big invesment",0,"Risk1"
"big loan",0,"Risk1"
"big purchase",0,"Risk1"
"big skipping stone",0,"Risk1"
"big-break",0,"Risk1"
"bigpurchase",0,"Risk1"
"bike",0,"Risk1"
"bike 2",0,"Risk1"
"bike loan",0,"Risk1"
"bikesrus",1,"Risk3"
"bill",0,"Risk1"
"bill catch up plus hoilday funds",0,"Risk1"
"bill catch up.",0,"Risk1"
"bill condenser",1,"Risk3"
"bill consildation",0,"Risk1"
"bill consoildation",0,"Risk1"
"bill consoladation",1,"Risk3"
"bill consolidate",0,"Risk1"
"bill consolidate and car purchase",0,"Risk1"
"bill consolidation",0.215384615384615,"Risk3"
"bill consolidation & credit card payoff.",0,"Risk1"
"bill consolidation and flooring",0,"Risk1"
"bill consolidation and other",0,"Risk1"
"bill consolidation loan",0.125,"Risk3"
"bill consulidation",1,"Risk3"
"bill cosolidation",0,"Risk1"
"bill free",0,"Risk1"
"bill loan",0.25,"Risk3"
"bill lower",1,"Risk3"
"bill pay",0.235294117647059,"Risk3"
"bill pay off",0.111111111111111,"Risk3"
"bill pay off loan",0,"Risk1"
"bill paydown",0,"Risk1"
"bill payer",0.333333333333333,"Risk3"
"bill paying",0,"Risk1"
"bill paying loan",1,"Risk3"
"bill payment",0.333333333333333,"Risk3"
"bill payment help",0,"Risk1"
"bill payoff",0.0909090909090909,"Risk3"
"bill payoff/vac",0,"Risk1"
"bill reduction plan",0,"Risk1"
"bill2",0,"Risk1"
"billcons",0,"Risk1"
"billconsolidation",0,"Risk1"
"billloan",0,"Risk1"
"billmoney",0,"Risk1"
"billpayment",0,"Risk1"
"billpayoff",1,"Risk3"
"bills",0.303030303030303,"Risk3"
"bills and purchases",0,"Risk1"
"bills be gone",0,"Risk1"
"bills loan",0,"Risk1"
"bills n other",1,"Risk3"
"bills n wedding",0,"Risk1"
"bills pay off",0,"Risk1"
"bills, car",0,"Risk1"
"billspayoff",0,"Risk1"
"bite me",0,"Risk1"
"biz dev",0,"Risk1"
"biz loan",0.75,"Risk3"
"blazing in 5 years",0,"Risk1"
"blessed i hope",1,"Risk3"
"blessed life",0,"Risk1"
"blessing",0.333333333333333,"Risk3"
"blessingindisguise",1,"Risk3"
"blue jeep",0,"Risk1"
"blue marlin",0,"Risk1"
"bluegreen payoff",0,"Risk1"
"blues in c minor",0,"Risk1"
"bman",0,"Risk1"
"bmw",0,"Risk1"
"bmw 1150gs",0,"Risk1"
"bmw auto loan",0,"Risk1"
"bmw motorcycle",0,"Risk1"
"boa",0,"Risk1"
"boa credit card refinance",0,"Risk1"
"boa creditcard",0,"Risk1"
"boa gold option loan payoff",0,"Risk1"
"boa pay off",0,"Risk1"
"boa refinance",0,"Risk1"
"boa-free",0,"Risk1"
"boa_chase",0,"Risk1"
"boacc",0,"Risk1"
"boarding school",1,"Risk3"
"boat",0,"Risk1"
"boat 2012",0,"Risk1"
"boat buying winter",0,"Risk1"
"boat down payment",1,"Risk3"
"boat loan",0,"Risk1"
"boat loan for 50% of the purchase price.",0,"Risk1"
"boat purchase",0,"Risk1"
"bofa",0,"Risk1"
"bofa cc refi",0,"Risk1"
"bofa credit cards",0,"Risk1"
"bofa/mc",0,"Risk1"
"boiler",1,"Risk3"
"bonus room",0,"Risk1"
"books/car",0,"Risk1"
"borrow",0,"Risk1"
"bottom line is",0,"Risk1"
"braces",0,"Risk1"
"braces for kid and some cards",0,"Risk1"
"brand spankin new used car!",0,"Risk1"
"brandy's plan to end this decade right!",1,"Risk3"
"brax and kristin's wedding",0,"Risk1"
"break the credit card cycle",0,"Risk1"
"breaking free",0,"Risk1"
"breaking up with bank of america",1,"Risk3"
"breath again",0,"Risk1"
"breath easy",1,"Risk3"
"breathe",0,"Risk1"
"breather",0,"Risk1"
"breathing room",0.181818181818182,"Risk3"
"breathingroom",0,"Risk1"
"brian's loan",0,"Risk1"
"bridge",0.333333333333333,"Risk3"
"bridge loan",0,"Risk1"
"bridge loan for exciting product",1,"Risk3"
"bridge loan for real estate investment",0,"Risk1"
"bridging the gap",0,"Risk1"
"bridle path loan",0,"Risk1"
"brifinally",0,"Risk1"
"brighter days",0,"Risk1"
"brittani's loan",0,"Risk1"
"broken water heater",0,"Risk1"
"broker business firm",1,"Risk3"
"brother",1,"Risk3"
"bt",0,"Risk1"
"bucket list",0,"Risk1"
"budget",0,"Risk1"
"budget badass",0,"Risk1"
"budget beater",0,"Risk1"
"budget loan",0,"Risk1"
"build a new product line and website",0,"Risk1"
"build the school",0,"Risk1"
"build trust",0,"Risk1"
"building",0,"Risk1"
"building a bridge to new opportunity",0,"Risk1"
"building a new life without old debt",0,"Risk1"
"building credit",1,"Risk3"
"building dream cabin",0,"Risk1"
"building loan",0,"Risk1"
"building my families future",0,"Risk1"
"building my life for my family's future",0,"Risk1"
"building project",0,"Risk1"
"building tomorrow",0,"Risk1"
"buildings for the future",0,"Risk1"
"buiness needs",0,"Risk1"
"buisness",0,"Risk1"
"buisness purchase",1,"Risk3"
"buissines start-up",0,"Risk1"
"buissness",0,"Risk1"
"bummer debt",1,"Risk3"
"bundle",0.5,"Risk3"
"bundle it!",0,"Risk1"
"bundled package",1,"Risk3"
"burden reduction loan",0,"Risk1"
"burlington",0,"Risk1"
"burt's get out of debt loan",0,"Risk1"
"bus loan",0,"Risk1"
"bus ticket",0,"Risk1"
"business",0.192027432490356,"Risk3"
"business & dc",1,"Risk3"
"business & debit",1,"Risk3"
"business advance loan",0,"Risk1"
"business and consolidation",0,"Risk1"
"business and house purpose",1,"Risk3"
"business assets acquisition",0,"Risk1"
"business bank line of credit",1,"Risk3"
"business bridging loan",0,"Risk1"
"business capital",0,"Risk1"
"business capital & pay off irs",1,"Risk3"
"business capital for expansion",0,"Risk1"
"business consolidation loan",0,"Risk1"
"business credit card consolidation",1,"Risk3"
"business credit card re-rate",0,"Risk1"
"business dbt",0,"Risk1"
"business debt consolidation",0.5,"Risk3"
"business debt consolidation & expansion",0,"Risk1"
"business debt consolidation loan",0,"Risk1"
"business expansion",0.5,"Risk3"
"business expansion for new contract",0,"Risk1"
"business expansion loan",0,"Risk1"
"business expasion",0,"Risk1"
"business fulfillment",1,"Risk3"
"business growth",0,"Risk1"
"business improvement",0,"Risk1"
"business inventory",0,"Risk1"
"business inventory investment",0,"Risk1"
"business loan",0.128205128205128,"Risk3"
"business loan - purchasing land/ lumber",0,"Risk1"
"business loan - seo",0,"Risk1"
"business loan 2011",0,"Risk1"
"business loan to expand & pay off debt",0,"Risk1"
"business loan to help grow business",0,"Risk1"
"business operation",0,"Risk1"
"business opportunity for mba graduate",0,"Risk1"
"business payoff",0,"Risk1"
"business purchase",0,"Risk1"
"business purpose",1,"Risk3"
"business school cost of living debt",0,"Risk1"
"business seed money",0,"Risk1"
"business start up",0.333333333333333,"Risk3"
"business start up loan",0,"Risk1"
"business starter",1,"Risk3"
"business startup loan",0,"Risk1"
"business success loan",1,"Risk3"
"business supplies",1,"Risk3"
"business travel and expensives",0,"Risk1"
"business,vacation",0,"Risk1"
"business1",0,"Risk1"
"busniness",0,"Risk1"
"bussiness",1,"Risk3"
"bussiness1",0,"Risk1"
"buy a car",0,"Risk1"
"buy a new truck",0,"Risk1"
"buy a used car and pay some bills",0,"Risk1"
"buy bussines",0,"Risk1"
"buy buy credit cards",0,"Risk1"
"buy furniture and payoff credit cards",0,"Risk1"
"buyers nightmare",1,"Risk3"
"buying a auction home",0,"Risk1"
"buying a car",0,"Risk1"
"buying a house",0.5,"Risk3"
"buying a new car",1,"Risk3"
"buying a studio",0,"Risk1"
"buying a used car",0,"Risk1"
"buying car from neighbor of 5 years",0,"Risk1"
"buying high-profit apartment building",1,"Risk3"
"buying into the business",0,"Risk1"
"buying ipods for my store in miami beach",1,"Risk3"
"buying my first car",0,"Risk1"
"buying out my partner",0,"Risk1"
"buying the ring",0,"Risk1"
"buying trailer",0,"Risk1"
"by by by multiple apr's hello single apr",1,"Risk3"
"by by high rate",0,"Risk1"
"by some new furnitur",0,"Risk1"
"byby creditcard",0,"Risk1"
