"x1","home_is_rent","grade","risco_zip_code_bin","default","dti_disc","installment_disc","last_fico_range_high_disc","loan_amnt_disc","mo_sin_old_rev_tl_op_disc","annual_inc_disc","fico_range_low_disc"
175059,"no","C","Risk2","no","(17.6,23.8]","[23.4,266]","(689,734]","[1e+03,1e+04]","(234,842]","[3e+03,4.54e+04]","(670,685]"
118781,"no","A","Risk3","yes","(12,17.6]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","[3,120]","(9e+04,7.5e+06]","(670,685]"
227077,"yes","D","Risk1","no","(23.8,40]","(384,579]","(624,689]","(1.76e+04,3.5e+04]","(120,168]","(4.54e+04,6.5e+04]","(670,685]"
219051,"yes","A","Risk1","no","[0,12]","(266,384]","(624,689]","(1e+04,1.76e+04]","[3,120]","(4.54e+04,6.5e+04]","(670,685]"
157969,"no","C","Risk3","no","(23.8,40]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(168,234]","(9e+04,7.5e+06]","(685,705]"
209437,"no","D","Risk1","yes","(12,17.6]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","[3,120]","(9e+04,7.5e+06]","[660,670]"
27217,"no","A","Risk1","no","[0,12]","[23.4,266]","(689,734]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","(670,685]"
40837,"no","D","Risk1","no","(23.8,40]","(384,579]","(734,850]","(1e+04,1.76e+04]","(168,234]","(6.5e+04,9e+04]","(670,685]"
23683,"no","E","Risk3","no","(17.6,23.8]","(384,579]","(689,734]","(1.76e+04,3.5e+04]","(234,842]","(4.54e+04,6.5e+04]","(670,685]"
197341,"no","A","Risk3","no","(12,17.6]","(266,384]","(624,689]","[1e+03,1e+04]","(168,234]","(6.5e+04,9e+04]","(705,845]"
173759,"yes","E","Risk1","no","(23.8,40]","[23.4,266]","(689,734]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(685,705]"
175163,"yes","B","Risk1","no","[0,12]","(384,579]","(734,850]","(1e+04,1.76e+04]","[3,120]","(6.5e+04,9e+04]","(705,845]"
62847,"no","E","Risk3","no","(23.8,40]","(384,579]","(734,850]","(1e+04,1.76e+04]","[3,120]","[3e+03,4.54e+04]","(685,705]"
171637,"no","B","Risk1","no","(17.6,23.8]","[23.4,266]","[0,624]","[1e+03,1e+04]","(168,234]","[3e+03,4.54e+04]","(670,685]"
163035,"no","C","Risk2","no","(17.6,23.8]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(234,842]","(6.5e+04,9e+04]","(705,845]"
135463,"yes","G","Risk2","yes","(12,17.6]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(168,234]","(6.5e+04,9e+04]","[660,670]"
12779,"yes","B","Risk2","no","(12,17.6]","(384,579]","(624,689]","(1e+04,1.76e+04]","(168,234]","(6.5e+04,9e+04]","[660,670]"
32115,"no","A","Risk3","no","[0,12]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(9e+04,7.5e+06]","(705,845]"
167661,"yes","C","Risk3","no","(12,17.6]","(384,579]","(624,689]","(1e+04,1.76e+04]","[3,120]","(4.54e+04,6.5e+04]","[660,670]"
21947,"no","B","Risk1","no","[0,12]","[23.4,266]","(734,850]","(1e+04,1.76e+04]","(120,168]","(6.5e+04,9e+04]","(705,845]"
69970,"no","A","Risk3","yes","(17.6,23.8]","[23.4,266]","(624,689]","[1e+03,1e+04]","(120,168]","(9e+04,7.5e+06]","[660,670]"
180626,"no","B","Risk3","no","(17.6,23.8]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(120,168]","(9e+04,7.5e+06]","(705,845]"
62240,"yes","D","Risk3","no","(23.8,40]","[23.4,266]","(624,689]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(670,685]"
50697,"yes","B","Risk3","no","(17.6,23.8]","(384,579]","(624,689]","(1e+04,1.76e+04]","(168,234]","(4.54e+04,6.5e+04]","[660,670]"
107062,"yes","A","Risk2","no","(12,17.6]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(168,234]","(9e+04,7.5e+06]","(705,845]"
84359,"no","C","Risk1","no","(17.6,23.8]","[23.4,266]","(734,850]","[1e+03,1e+04]","(168,234]","(6.5e+04,9e+04]","(705,845]"
50236,"no","C","Risk2","no","(23.8,40]","(384,579]","(689,734]","(1.76e+04,3.5e+04]","(234,842]","(4.54e+04,6.5e+04]","(670,685]"
59342,"no","F","Risk2","no","(17.6,23.8]","[23.4,266]","(624,689]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(705,845]"
23467,"no","E","Risk1","yes","(17.6,23.8]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(234,842]","(6.5e+04,9e+04]","(670,685]"
161253,"no","B","Risk3","no","(12,17.6]","(384,579]","(689,734]","(1e+04,1.76e+04]","(168,234]","(9e+04,7.5e+06]","[660,670]"
181809,"no","C","Risk3","no","(17.6,23.8]","(266,384]","(624,689]","(1e+04,1.76e+04]","(120,168]","(6.5e+04,9e+04]","(670,685]"
217535,"no","D","Risk1","no","[0,12]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(168,234]","(9e+04,7.5e+06]","(670,685]"
147039,"yes","B","Risk3","no","(17.6,23.8]","(384,579]","(734,850]","(1e+04,1.76e+04]","(120,168]","(6.5e+04,9e+04]","(685,705]"
51566,"yes","B","Risk2","no","(17.6,23.8]","[23.4,266]","(734,850]","[1e+03,1e+04]","[3,120]","(6.5e+04,9e+04]","(685,705]"
117265,"no","D","Risk2","no","(23.8,40]","[23.4,266]","(689,734]","[1e+03,1e+04]","(234,842]","(4.54e+04,6.5e+04]","(670,685]"
4847,"yes","D","Risk2","no","[0,12]","[23.4,266]","(734,850]","[1e+03,1e+04]","(168,234]","[3e+03,4.54e+04]","[660,670]"
87463,"no","D","Risk3","no","(23.8,40]","[23.4,266]","[0,624]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","(670,685]"
90096,"no","C","Risk3","no","(23.8,40]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(6.5e+04,9e+04]","(705,845]"
224306,"yes","B","Risk1","no","[0,12]","[23.4,266]","(734,850]","[1e+03,1e+04]","(168,234]","(9e+04,7.5e+06]","[660,670]"
233986,"no","F","Risk3","no","(17.6,23.8]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","[660,670]"
87973,"yes","D","Risk2","no","(12,17.6]","(266,384]","(624,689]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(670,685]"
130506,"no","D","Risk3","no","(12,17.6]","(384,579]","(689,734]","(1e+04,1.76e+04]","(234,842]","[3e+03,4.54e+04]","(685,705]"
205379,"yes","C","Risk2","no","[0,12]","[23.4,266]","(689,734]","[1e+03,1e+04]","(120,168]","(4.54e+04,6.5e+04]","[660,670]"
45425,"yes","D","Risk1","yes","[0,12]","[23.4,266]","[0,624]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(670,685]"
134409,"no","C","Risk2","no","(17.6,23.8]","(384,579]","(624,689]","(1e+04,1.76e+04]","[3,120]","(9e+04,7.5e+06]","(685,705]"
157499,"yes","A","Risk2","no","(17.6,23.8]","(266,384]","(689,734]","(1e+04,1.76e+04]","(120,168]","(6.5e+04,9e+04]","(685,705]"
213316,"yes","B","Risk2","no","(12,17.6]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(6.5e+04,9e+04]","(670,685]"
65272,"yes","C","Risk2","no","(12,17.6]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(168,234]","(4.54e+04,6.5e+04]","(685,705]"
93601,"no","A","Risk1","no","[0,12]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(705,845]"
40769,"yes","E","Risk2","no","(23.8,40]","[23.4,266]","(689,734]","[1e+03,1e+04]","[3,120]","(4.54e+04,6.5e+04]","[660,670]"
191973,"no","A","Risk2","no","(17.6,23.8]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","[3,120]","(6.5e+04,9e+04]","(685,705]"
188190,"no","E","Risk2","no","(17.6,23.8]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","(120,168]","(9e+04,7.5e+06]","(705,845]"
13920,"yes","D","Risk3","no","(12,17.6]","(266,384]","(689,734]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","[660,670]"
158513,"yes","C","Risk2","no","(23.8,40]","(266,384]","(734,850]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(670,685]"
90241,"no","D","Risk2","yes","(23.8,40]","[23.4,266]","[0,624]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","[660,670]"
54030,"yes","B","Risk2","no","(23.8,40]","[23.4,266]","[0,624]","[1e+03,1e+04]","(168,234]","[3e+03,4.54e+04]","[660,670]"
18755,"yes","B","Risk2","no","[0,12]","(266,384]","(734,850]","[1e+03,1e+04]","(120,168]","(4.54e+04,6.5e+04]","[660,670]"
153844,"no","B","Risk2","no","(12,17.6]","(384,579]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(6.5e+04,9e+04]","(705,845]"
71733,"no","A","Risk1","no","(17.6,23.8]","(266,384]","(689,734]","(1e+04,1.76e+04]","(234,842]","(4.54e+04,6.5e+04]","(705,845]"
41383,"yes","C","Risk3","no","(23.8,40]","[23.4,266]","[0,624]","[1e+03,1e+04]","(120,168]","(6.5e+04,9e+04]","[660,670]"
117050,"no","C","Risk2","no","[0,12]","[23.4,266]","(624,689]","[1e+03,1e+04]","(234,842]","[3e+03,4.54e+04]","[660,670]"
24362,"yes","B","Risk2","no","[0,12]","[23.4,266]","(689,734]","[1e+03,1e+04]","[3,120]","(4.54e+04,6.5e+04]","[660,670]"
31028,"no","B","Risk1","no","(12,17.6]","(384,579]","(624,689]","(1.76e+04,3.5e+04]","(234,842]","(6.5e+04,9e+04]","(670,685]"
139674,"no","C","Risk1","no","(17.6,23.8]","(266,384]","(689,734]","(1e+04,1.76e+04]","(168,234]","(4.54e+04,6.5e+04]","(705,845]"
173165,"yes","G","Risk3","no","(12,17.6]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(6.5e+04,9e+04]","[660,670]"
25713,"yes","C","Risk2","yes","[0,12]","[23.4,266]","[0,624]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","[660,670]"
15106,"no","E","Risk2","yes","(17.6,23.8]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(120,168]","(9e+04,7.5e+06]","[660,670]"
102070,"no","D","Risk1","no","(23.8,40]","(384,579]","(734,850]","(1.76e+04,3.5e+04]","(120,168]","(4.54e+04,6.5e+04]","[660,670]"
216448,"no","D","Risk1","no","[0,12]","[23.4,266]","(734,850]","[1e+03,1e+04]","(168,234]","(6.5e+04,9e+04]","[660,670]"
918,"no","B","Risk1","no","[0,12]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(705,845]"
102359,"yes","B","Risk2","no","(17.6,23.8]","(266,384]","[0,624]","[1e+03,1e+04]","[3,120]","(4.54e+04,6.5e+04]","(670,685]"
131241,"yes","B","Risk2","no","(23.8,40]","[23.4,266]","(734,850]","[1e+03,1e+04]","(120,168]","(6.5e+04,9e+04]","[660,670]"
204392,"yes","B","Risk3","no","[0,12]","[23.4,266]","(734,850]","[1e+03,1e+04]","[3,120]","(6.5e+04,9e+04]","[660,670]"
190720,"yes","A","Risk1","no","(12,17.6]","(384,579]","(624,689]","(1e+04,1.76e+04]","(168,234]","[3e+03,4.54e+04]","[660,670]"
190921,"yes","D","Risk3","no","[0,12]","[23.4,266]","[0,624]","[1e+03,1e+04]","[3,120]","(4.54e+04,6.5e+04]","(670,685]"
173901,"no","C","Risk3","no","(12,17.6]","(266,384]","(624,689]","(1e+04,1.76e+04]","[3,120]","[3e+03,4.54e+04]","(685,705]"
73098,"yes","A","Risk2","no","(17.6,23.8]","[23.4,266]","(624,689]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","[660,670]"
158618,"yes","C","Risk1","no","[0,12]","(266,384]","(734,850]","[1e+03,1e+04]","(168,234]","(9e+04,7.5e+06]","(685,705]"
158659,"yes","D","Risk3","no","(12,17.6]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(120,168]","(6.5e+04,9e+04]","(705,845]"
68566,"no","C","Risk3","no","(23.8,40]","(266,384]","(624,689]","(1e+04,1.76e+04]","(234,842]","(6.5e+04,9e+04]","[660,670]"
41353,"no","B","Risk3","no","[0,12]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(705,845]"
192791,"no","A","Risk2","no","(12,17.6]","(384,579]","(624,689]","(1e+04,1.76e+04]","(168,234]","(9e+04,7.5e+06]","(705,845]"
156205,"yes","B","Risk2","no","(17.6,23.8]","(266,384]","(734,850]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(670,685]"
223597,"no","B","Risk2","no","[0,12]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","[3,120]","(9e+04,7.5e+06]","(685,705]"
163120,"no","B","Risk2","yes","(12,17.6]","(266,384]","(624,689]","[1e+03,1e+04]","(168,234]","[3e+03,4.54e+04]","(705,845]"
223322,"no","E","Risk3","no","(12,17.6]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","[3,120]","(4.54e+04,6.5e+04]","(670,685]"
151187,"no","D","Risk1","no","(17.6,23.8]","(266,384]","(624,689]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","[660,670]"
144251,"yes","B","Risk3","yes","(17.6,23.8]","[23.4,266]","[0,624]","[1e+03,1e+04]","[3,120]","(4.54e+04,6.5e+04]","(670,685]"
175645,"yes","A","Risk3","no","(23.8,40]","(266,384]","(734,850]","(1e+04,1.76e+04]","(234,842]","(6.5e+04,9e+04]","(705,845]"
113907,"no","B","Risk3","no","(17.6,23.8]","(384,579]","(734,850]","(1e+04,1.76e+04]","(234,842]","(4.54e+04,6.5e+04]","(705,845]"
173043,"yes","C","Risk3","no","[0,12]","(266,384]","(689,734]","[1e+03,1e+04]","(168,234]","(4.54e+04,6.5e+04]","[660,670]"
187433,"no","C","Risk2","no","(23.8,40]","(266,384]","(734,850]","(1e+04,1.76e+04]","[3,120]","[3e+03,4.54e+04]","[660,670]"
28781,"no","B","Risk2","no","(12,17.6]","(266,384]","(624,689]","[1e+03,1e+04]","(168,234]","[3e+03,4.54e+04]","(705,845]"
110593,"no","D","Risk2","no","(17.6,23.8]","[23.4,266]","(624,689]","[1e+03,1e+04]","(234,842]","(4.54e+04,6.5e+04]","[660,670]"
190977,"yes","D","Risk2","no","[0,12]","(384,579]","(689,734]","(1e+04,1.76e+04]","[3,120]","[3e+03,4.54e+04]","(685,705]"
170982,"no","C","Risk2","no","[0,12]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(168,234]","(9e+04,7.5e+06]","(705,845]"
88119,"yes","B","Risk1","no","(12,17.6]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(120,168]","(9e+04,7.5e+06]","(670,685]"
163719,"yes","A","Risk2","no","[0,12]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","[3,120]","(9e+04,7.5e+06]","(705,845]"
86826,"no","A","Risk1","no","(17.6,23.8]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(168,234]","(4.54e+04,6.5e+04]","(705,845]"
71315,"yes","D","Risk1","no","(12,17.6]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(705,845]"
91059,"no","E","Risk2","no","(23.8,40]","(266,384]","(624,689]","[1e+03,1e+04]","[3,120]","[3e+03,4.54e+04]","(685,705]"
215174,"yes","C","Risk2","yes","[0,12]","(579,1.41e+03]","[0,624]","(1e+04,1.76e+04]","(168,234]","(9e+04,7.5e+06]","[660,670]"
58191,"no","A","Risk1","no","(12,17.6]","(384,579]","(734,850]","(1e+04,1.76e+04]","(168,234]","[3e+03,4.54e+04]","(705,845]"
140755,"yes","C","Risk3","no","(12,17.6]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(120,168]","(9e+04,7.5e+06]","(685,705]"
200476,"no","C","Risk1","no","[0,12]","(579,1.41e+03]","(734,850]","(1e+04,1.76e+04]","(234,842]","(9e+04,7.5e+06]","(670,685]"
120346,"no","B","Risk3","no","[0,12]","(384,579]","(734,850]","(1e+04,1.76e+04]","(120,168]","(9e+04,7.5e+06]","[660,670]"
159347,"no","D","Risk3","no","[0,12]","(266,384]","[0,624]","[1e+03,1e+04]","[3,120]","(6.5e+04,9e+04]","(685,705]"
67562,"yes","C","Risk1","no","(12,17.6]","(266,384]","(689,734]","(1e+04,1.76e+04]","(120,168]","(6.5e+04,9e+04]","[660,670]"
58123,"no","D","Risk2","yes","(17.6,23.8]","(384,579]","[0,624]","(1.76e+04,3.5e+04]","(168,234]","(4.54e+04,6.5e+04]","(670,685]"
81746,"yes","E","Risk1","yes","(23.8,40]","(384,579]","[0,624]","(1.76e+04,3.5e+04]","[3,120]","(6.5e+04,9e+04]","(685,705]"
161151,"no","C","Risk2","no","(12,17.6]","(266,384]","(624,689]","[1e+03,1e+04]","(168,234]","(6.5e+04,9e+04]","[660,670]"
164135,"no","A","Risk2","no","[0,12]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","(120,168]","(6.5e+04,9e+04]","(670,685]"
200005,"no","D","Risk3","no","(23.8,40]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","[3,120]","(6.5e+04,9e+04]","[660,670]"
185856,"yes","C","Risk1","no","(12,17.6]","(266,384]","(734,850]","(1e+04,1.76e+04]","(168,234]","(4.54e+04,6.5e+04]","[660,670]"
228173,"no","B","Risk3","no","(17.6,23.8]","(266,384]","(689,734]","[1e+03,1e+04]","(120,168]","[3e+03,4.54e+04]","(685,705]"
33874,"no","A","Risk1","no","(23.8,40]","(579,1.41e+03]","[0,624]","(1.76e+04,3.5e+04]","(120,168]","(9e+04,7.5e+06]","(685,705]"
111958,"no","C","Risk1","no","[0,12]","(384,579]","(689,734]","(1e+04,1.76e+04]","(120,168]","(4.54e+04,6.5e+04]","(670,685]"
188979,"yes","D","Risk2","no","(23.8,40]","(266,384]","(624,689]","(1e+04,1.76e+04]","(120,168]","[3e+03,4.54e+04]","(705,845]"
175270,"no","B","Risk3","no","[0,12]","(579,1.41e+03]","(624,689]","(1.76e+04,3.5e+04]","(234,842]","(6.5e+04,9e+04]","(685,705]"
209527,"yes","C","Risk2","no","(23.8,40]","[23.4,266]","(734,850]","[1e+03,1e+04]","(120,168]","[3e+03,4.54e+04]","[660,670]"
142883,"no","D","Risk2","no","(23.8,40]","(579,1.41e+03]","(734,850]","(1.76e+04,3.5e+04]","(234,842]","(6.5e+04,9e+04]","(705,845]"
49338,"no","A","Risk3","no","(17.6,23.8]","(579,1.41e+03]","(689,734]","(1.76e+04,3.5e+04]","(234,842]","(9e+04,7.5e+06]","(705,845]"
126092,"yes","C","Risk2","no","(12,17.6]","(266,384]","(624,689]","[1e+03,1e+04]","(168,234]","(6.5e+04,9e+04]","[660,670]"
